title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Avengers: Endgame,"$858,373,000","$2,797,800,564",Walt Disney Studios Motion Pictures,"$357,115,007","4,662 theaters","$356,000,000",PG-13,"Action,Adventure,Drama,Sci-Fi","Apr 26, 2019"
Alita: Battle Angel,"$85,838,210","$404,980,543",Twentieth Century Fox,"$28,525,613","3,790 theaters","$170,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller","Feb 14, 2019"
Rocketman,"$96,368,160","$195,179,299",Paramount Pictures,"$25,725,722","3,610 theaters","$40,000,000",R,"Biography,Drama,Music,Musical","May 31, 2019"
Downton Abbey,"$96,854,135","$193,820,755",Focus Features,"$31,033,665","3,079 theaters","$13,000,000",PG,"Drama,Romance","Sep 20, 2019"
The Addams Family,"$100,044,905","$203,044,905",United Artists Releasing,"$30,300,007","4,007 theaters","$24,000,000",PG,"Animation,Comedy,Family,Fantasy,Horror","Oct 11, 2019"
Hustlers,"$104,963,598","$157,563,598",STX Entertainment,"$33,181,361","3,250 theaters","$20,000,000",R,"Comedy,Crime,Drama","Sep 13, 2019"
The LEGO Movie 2: The Second Part,"$105,806,508","$192,306,508",Warner Bros.,"$34,115,335","4,303 theaters","$99,000,000",PG,"Action,Adventure,Animation,Comedy,Family,Fantasy,Musical","Feb 8, 2019"
Ford v Ferrari,"$117,624,357","$225,508,210",Twentieth Century Fox,"$31,474,958","3,528 theaters","$97,600,000",PG-13,"Action,Biography,Drama,Sport","Nov 15, 2019"
The Upside,"$108,252,517","$125,852,517",STX Entertainment,"$20,355,000","3,080 theaters","$37,500,000",PG-13,"Comedy,Drama","Jan 11, 2019"
Godzilla: King of the Monsters,"$110,500,138","$386,600,138",Warner Bros.,"$47,776,293","4,108 theaters","$170,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi","May 31, 2019"
Glass,"$111,048,468","$246,999,039",Universal Pictures,"$40,328,920","3,841 theaters","$20,000,000",PG-13,"Drama,Sci-Fi,Thriller","Jan 18, 2019"
Maleficent: Mistress of Evil,"$113,929,605","$491,730,089",Walt Disney Studios Motion Pictures,"$36,948,713","3,790 theaters","$185,000,000",PG,"Adventure,Family,Fantasy","Oct 18, 2019"
