title,criticscore,criticcount,audiencescore
Black Panther,96%,517,79%
Avengers: Endgame,94%,532,90%
Mission: Impossible -- Fallout,97%,431,88%
Mad Max: Fury Road,97%,424,86%
Spider-Man: Into the Spider-Verse,97%,385,93%
Toy Story 4,97%,446,94%
Wonder Woman,93%,461,84%
Spider-Man: Into the Spider-Verse,97%,385,93%
Dunkirk,93%,456,81%
Citizen Kane,100%,94,90%
Inside Out,98%,373,89%
Coco,97%,346,94%
The Wizard of Oz,98%,120,89%
Coco,97%,346,94%
Thor: Ragnarok,93%,429,87%
Won't You Be My Neighbor?,97%,252,94%
Casablanca,99%,93,95%
Snow White and the Seven Dwarfs,98%,53,78%
Logan,93%,417,90%
I Am Not Your Negro,99%,205,83%
Parasite,98%,456,90%
Modern Times,100%,61,95%
Paddington 2,100%,243,88%
Spider-Man: Far From Home,91%,444,95%
Us,93%,539,59%
Apollo 11,99%,183,90%
The Cabinet of Dr. Caligari,98%,66,89%
It Happened One Night,98%,61,93%
Incredibles 2,93%,381,84%
Star Wars: The Last Jedi,90%,474,42%
Get Out,98%,389,86%
Toy Story 4,97%,446,94%
Life Itself,98%,200,88%
Grand Illusion,97%,66,92%
A Night at the Opera,97%,69,91%
Zootopia,98%,293,92%
The Adventures of Robin Hood,100%,48,89%
The Wizard of Oz,98%,120,89%
A Quiet Place,96%,379,83%
The Wizard of Oz,98%,120,89%
Man on Wire,100%,158,87%
Nosferatu,97%,67,87%
The Third Man,99%,82,93%
Up,98%,298,90%
King Kong,98%,64,86%
A Night at the Opera,97%,69,91%
Knives Out,97%,458,92%
The Cabinet of Dr. Caligari,98%,66,89%
Spider-Man: Into the Spider-Verse,97%,385,93%
Amazing Grace,99%,157,80%
The Battle of Algiers,99%,89,95%
The Cabinet of Dr. Caligari,98%,66,89%
Toy Story 2,100%,169,87%
Incredibles 2,93%,381,84%
Casablanca,99%,93,95%
Singin' in the Rain,100%,63,95%
Us,93%,539,59%
Nosferatu,97%,67,87%
Inside Out,98%,373,89%
Minding the Gap,100%,119,92%
Metropolis,97%,131,92%
Grand Illusion,97%,66,92%
Toy Story 3,98%,308,89%
Star Wars: The Force Awakens,92%,438,86%
It Happened One Night,98%,61,93%
Black Panther,96%,517,79%
La La Land,91%,460,81%
Citizen Kane,100%,94,90%
The Invisible Man,91%,397,88%
Coco,97%,346,94%
Faces Places,99%,142,89%
Seven Samurai,100%,65,97%
Singin' in the Rain,100%,63,95%
Pinocchio,100%,55,73%
Zootopia,98%,293,92%
Bride of Frankenstein,98%,47,87%
A Night at the Opera,97%,69,91%
Avengers: Endgame,94%,532,90%
A Hard Day's Night,98%,109,89%
Mission: Impossible -- Fallout,97%,431,88%
King Kong,98%,64,86%
Snow White and the Seven Dwarfs,98%,53,78%
Three Identical Strangers,97%,181,88%
Shoplifters,99%,226,91%
Snow White and the Seven Dwarfs,98%,53,78%
Finding Dory,94%,331,84%
War for the Planet of the Apes,94%,355,84%
Frankenstein,100%,49,87%
Murderball,98%,141,89%
The Shape of Water,92%,450,72%
Toy Story 4,97%,446,94%
Top Hat,100%,42,91%
Get Out,98%,389,86%
Psycho,96%,103,95%
E.T. the Extra-Terrestrial,98%,132,72%
McQueen,99%,123,79%
M,100%,58,95%
All About Eve,99%,77,94%
Finding Nemo,99%,266,86%
